Método,Tipo,Tamanho,Execução,Tempo(ns)
Heap Sort,Repetidos,1000,6,14500
Heap Sort,Repetidos,1000,7,14000
Heap Sort,Repetidos,1000,8,13900
Heap Sort,Repetidos,1000,9,14000
Heap Sort,Repetidos,1000,10,14000
Heap Sort,Repetidos,10000,1,146300
Heap Sort,Repetidos,10000,2,79500
Heap Sort,Repetidos,10000,3,81200
Heap Sort,Repetidos,10000,4,81300
Heap Sort,Repetidos,10000,5,92000
Heap Sort,Repetidos,10000,6,156200
Heap Sort,Repetidos,10000,7,110000
Heap Sort,Repetidos,10000,8,96300
Heap Sort,Repetidos,10000,9,81600
Heap Sort,Repetidos,10000,10,81700
Heap Sort,Repetidos,100000,1,885700
Heap Sort,Repetidos,100000,2,882900
Heap Sort,Repetidos,100000,3,959800
Heap Sort,Repetidos,100000,4,863100
Heap Sort,Repetidos,100000,5,772100
Heap Sort,Repetidos,100000,6,772600
Heap Sort,Repetidos,100000,7,770200
Heap Sort,Repetidos,100000,8,768500
Heap Sort,Repetidos,100000,9,779600
Heap Sort,Repetidos,100000,10,779500
Heap Sort,Repetidos,1000000,1,8588300
Heap Sort,Repetidos,1000000,2,11221200
Heap Sort,Repetidos,1000000,3,8949600
Heap Sort,Repetidos,1000000,4,9652300
Heap Sort,Repetidos,1000000,5,8594200
Heap Sort,Repetidos,1000000,6,9098700
Heap Sort,Repetidos,1000000,7,9508900
Heap Sort,Repetidos,1000000,8,8807900
Heap Sort,Repetidos,1000000,9,8979700
Heap Sort,Repetidos,1000000,10,10345300
Método,Tipo,Tamanho,Execução,Tempo(ns)
Shell Sort,Crescente,100,1,44200
Shell Sort,Crescente,100,2,44500
Shell Sort,Crescente,100,3,36500
Shell Sort,Crescente,100,4,33100
Shell Sort,Crescente,100,5,34100
Shell Sort,Crescente,100,6,33400
Shell Sort,Crescente,100,7,33700
Shell Sort,Crescente,100,8,33100
Shell Sort,Crescente,100,9,34200
Shell Sort,Crescente,100,10,33100
Shell Sort,Crescente,1000,1,474500
Shell Sort,Crescente,1000,2,483700
Shell Sort,Crescente,1000,3,468200
Shell Sort,Crescente,1000,4,448700
Shell Sort,Crescente,1000,5,441200
Shell Sort,Crescente,1000,6,425100
Shell Sort,Crescente,1000,7,451600
Shell Sort,Crescente,1000,8,434600
Shell Sort,Crescente,1000,9,180000
Shell Sort,Crescente,1000,10,122400
Shell Sort,Crescente,10000,1,974200
Shell Sort,Crescente,10000,2,897800
Shell Sort,Crescente,10000,3,1060700
Shell Sort,Crescente,10000,4,2726000
Shell Sort,Crescente,10000,5,902300
Shell Sort,Crescente,10000,6,897800
Shell Sort,Crescente,10000,7,893000
Shell Sort,Crescente,10000,8,1020500
Shell Sort,Crescente,10000,9,907300
Shell Sort,Crescente,10000,10,5769200
Shell Sort,Crescente,100000,1,6661200
Shell Sort,Crescente,100000,2,3630600
Shell Sort,Crescente,100000,3,3486100
Shell Sort,Crescente,100000,4,3581600
Shell Sort,Crescente,100000,5,3414100
Shell Sort,Crescente,100000,6,3529600
Shell Sort,Crescente,100000,7,3267000
Shell Sort,Crescente,100000,8,3291500
Shell Sort,Crescente,100000,9,3462700
Shell Sort,Crescente,100000,10,3251400
Shell Sort,Crescente,1000000,1,61417400
Shell Sort,Crescente,1000000,2,60394500
Shell Sort,Crescente,1000000,3,63699900
Shell Sort,Crescente,1000000,4,60918300
Shell Sort,Crescente,1000000,5,52324300
Shell Sort,Crescente,1000000,6,56007500
Shell Sort,Crescente,1000000,7,54422600
Shell Sort,Crescente,1000000,8,52368000
Shell Sort,Crescente,1000000,9,50564500
Shell Sort,Crescente,1000000,10,55267500
